id_noticia,fuente,url,categoria_busqueda
N001,DiarioElDia,https://www.diarioeldia.cl/noticias/2026/09/08/150326-nuevo-homicidio-en-la-serena-hombre-muere-acribillado-en-caleta-san-pedro,homicidio
N002,DiarioElDia,https://www.diarioeldia.cl/noticias/2026/08/27/149036-violencia-no-da-tregua-acribillamiento-en-coquimbo-eleva-preocupacion-por-seguidilla-de-asesinatos,homicidio
N003,DiarioElDia,https://www.diarioeldia.cl/noticias/2026/08/22/148498-tres-asesinatos-en-menos-de-dos-dias-elevan-a-24-las-victimas-en-la-region,homicidio
N004,DiarioElDia,https://www.diarioeldia.cl/noticias/2026/08/21/148411-dos-homicidios-impactan-a-coquimbo-y-salamanca,homicidio
N005,DiarioElDia,https://www.diarioeldia.cl/noticias/2026/08/06/146914-tras-casi-un-ano-profugo-cae-adolescente-imputado-por-homicidio-en-coquimbo,homicidio
N006,DiarioElDia,https://www.diarioeldia.cl/noticias/2026/05/02/136200-crimen-en-motel-de-ovalle-huella-en-botella-fue-clave-tras-ser-acribillado-con-9-disparos,homicidio
N007,DiarioElDia,https://www.diarioeldia.cl/noticias/2026/04/16/134520-homicidio-a-plena-luz-del-dia-en-la-serena-autor-fue-detenido,homicidio
N008,DiarioElDia,https://www.diarioeldia.cl/noticias/2026/09/13/150949-las-senales-del-preocupante-repunte-de-homicidios-en-la-region,homicidio
N009,DiarioElDia,https://www.diarioeldia.cl/noticias/2025/01/25/124707-segundo-homicidio-del-ano-en-la-region-se-registra-en-ovalle,homicidio
N010,ElObservatodo,https://www.elobservatodo.cl/noticia/sociedad/pdi-detiene-al-autor-del-homicidio-en-parte-alta-de-coquimbo,homicidio
N011,ElObservatodo,https://www.elobservatodo.cl/noticia/sociedad/detienen-autor-de-homicidio-frustrado-en-coquimbo-tras-operativo-policial,homicidio
N012,ElObservatodo,https://www.elobservatodo.cl/noticia/sociedad/fiscalia-formalizo-venezolano-por-homicidio-ocurrido-en-centro-de-coquimbo,homicidio
N013,ElObservatodo,https://www.elobservatodo.cl/noticia/sociedad/hombre-muere-tras-brutal-ataque-con-arma-blanca-en-servicentro-de-la-serena-hay-un-,homicidio
N014,ElObservatodo,https://www.elobservatodo.cl/noticia/sociedad/investigacion-de-carabineros-permitio-localizar-y-detener-profugo-por-homicidio-cal,homicidio
N015,ElObservatodo,https://www.elobservatodo.cl/noticia/sociedad/justicia-para-cara-de-vieja-en-coquimbo-capturan-presunto-asesino-tras-8-meses-prof,homicidio
N016,ElObservatodo,https://www.elobservatodo.cl/noticia/sociedad/condenan-sujeto-que-degollo-mujer-en-la-region-de-coquimbo,femicidio
